序号,监测点,经度,纬度
1,东城东四,116.417,39.929
2,东城天坛,116.407,39.886
3,西城官园,116.339,39.929
4,西城万寿西宫,116.352,39.878
5,朝阳奥体中心,116.397,39.982
6,朝阳农展馆,116.461,39.937
7,海淀万柳,116.287,39.987
8,海淀四季青,116.23052,40.03
9,丰台小屯,116.25528,39.87694
10,丰台云岗,116.146,39.824
11,石景山古城,116.176,39.914
12,石景山老山,116.20764,39.90886
13,昌平镇,116.234,40.217
14,昌平南邵,116.27603,40.21651
15,定陵(对照点),116.22,40.292
16,延庆夏都,115.972,40.453
17,延庆石河营,116.00138,40.46327
18,怀柔镇,116.628,40.328
19,怀柔新城,116.6018,40.3118
20,密云镇,116.832,40.37
21,密云新城,116.85152,40.4088
22,平谷镇,117.118,40.143
23,平谷新城,117.0854,40.15353
24,顺义新城,116.655,40.127
25,顺义北小营,116.6853,40.16087
26,通州永顺,116.67503,39.93435
27,通州东关,116.6996,39.9131
28,大兴黄村,116.404,39.718
29,大兴旧宫,116.47456,39.78284
30,亦庄开发区,116.506,39.795
31,京东南区域点,116.78437,39.63606
32,门头沟双峪,116.106,39.937
33,门头沟三家店,116.09122,39.96926
34,房山良乡,116.136,39.742
35,房山燕山,115.96916,39.76419
